"type"	"content"
"1"	"mutant"	46.6704
"2"	"mutant"	28.93586
"3"	"mutant"	31.23655
"4"	"mutant"	38.60823
"5"	"mutant"	32.43279
"6"	"mutant"	39.46417
"7"	"mutant"	31.21407
"8"	"mutant"	39.84881
"9"	"mutant"	31.95937
"10"	"mutant"	31.13072
"11"	"mutant"	40.32327
"12"	"mutant"	31.41751
"13"	"mutant"	39.81889
"14"	"mutant"	39.1927
"15"	"mutant"	36.48388
"16"	"mutant"	39.95963
"17"	"mutant"	40.84407
"18"	"mutant"	55.17979
"19"	"mutant"	32.60938
"20"	"mutant"	44.05766
"21"	"control"	32.61637
"22"	"control"	29.3266
"23"	"control"	29.02542
"24"	"control"	30.71017
"25"	"control"	30.36489
"26"	"control"	34.91931
"27"	"control"	38.94863
"28"	"control"	30.75033
"29"	"control"	30.20496
"30"	"control"	30.5278
"31"	"control"	30.7589
"32"	"control"	33.61884
"33"	"control"	37.18211
"34"	"control"	29.45672
"35"	"control"	35.37264
"36"	"control"	25.83473
"37"	"control"	31.46092
"38"	"control"	33.25098
"39"	"control"	33.47044
"40"	"control"	18.83014
